Motilal Nehru National Institute of Technology Allahabad,Electronics and Communication Engineering (4 Years Bachelor of Technology),OPEN-PWD,M,366,366
Indian Institute of Information Technology (IIIT) Pune,Computer Science and Engineering (4 Years Bachelor of Technology),ST,M,366,2179
Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN-PWD,M,367,530
Indian Institute of Information Technology Design &Manufacturing Kancheepuram,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-PWD,M,367,367
Indian Institute of Information Technology Allahabad,Information Technology (4 Years Bachelor of Technology),OBC-PWD,F,370,370
National Institute of Technology Durgapur,Electrical Engineering (4 Years Bachelor of Technology),OBC-PWD,M,374,374
National Institute of Technology Karnataka Surathkal,Electrical and Electronics Engineering (4 Years Bachelor of Technology),ST,M,383,519
National Institute of Technology Patna,Electrical Engineering (4 Years Bachelor of Technology),OBC-PWD,M,385,385
National Institute of Technology Durgapur,Computer Science and Engineering (4 Years Bachelor of Technology),ST,M,390,528
National Institute of Technology Raipur,Information Technology (4 Years Bachelor of Technology),OPEN-PWD,M,390,390
Pt. Dwarka PrasadMishra Indian Institute of Information Technology Design &Manufacture Jabalpur,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-PWD,M,396,473
Malaviya National Institute of Technology Jaipur,Electrical Engineering (4 Years Bachelor of Technology),ST,M,401,935
National Institute of Technology Karnataka Surathkal,Civil Engineering (4 Years Bachelor of Technology),ST,M,402,506
Indian Institute of Information Technology Lucknow,Computer Science (4 Years Bachelor of Technology),SC,M,407,2564
Motilal Nehru National Institute of Technology Allahabad,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN,M,408,2362
National Institute of Technology Karnataka Surathkal,Civil Engineering (4 Years Bachelor of Technology),OBC-PWD,F,408,408
Dr. B R Ambedkar National Institute of Technology Jalandhar,Information Technology (4 Years Bachelor of Technology),OPEN-PWD,M,409,409
Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN,M,409,16525
Motilal Nehru National Institute of Technology Allahabad,Chemical Engineering (4 Years Bachelor of Technology),OBC-PWD,M,410,410
National Institute of Technology Karnataka Surathkal,Information Technology (4 Years Bachelor of Technology),OBC,M,411,612
Atal Bihari Vajpayee Indian Institute of Information Technology &Management Gwalior,Integrated B. Tech.(IT) andM. Tech (IT) (5 Years Integrated B. Tech. andM. Tech.),OBC-PWD,M,412,412
Motilal Nehru National Institute of Technology Allahabad,Computer Science and Engineering (4 Years Bachelor of Technology),OBC,M,413,975
National Institute of Technology Raipur,Electronics and Communication Engineering (4 Years Bachelor of Technology),OPEN-PWD,M,415,415
Maulana Azad National Institute of Technology Bhopal,Civil Engineering (4 Years Bachelor of Technology),OBC-PWD,M,417,417
Indian Institute of Information Technology Surat,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN-PWD,M,424,424
Dr. B R Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering (4 Years Bachelor of Technology),ST,M,429,809
National Institute of Technology Calicut,Bio Technology (4 Years Bachelor of Technology),OBC-PWD,M,431,431
National Institute of Technology Karnataka Surathkal,Electronics and Communication Engineering (4 Years Bachelor of Technology),EWS,M,432,524
National Institute of Technology Karnataka Surathkal,Information Technology (4 Years Bachelor of Technology),EWS,F,434,434
National Institute of Technology Durgapur,Electronics and Communication Engineering (4 Years Bachelor of Technology),OPEN-PWD,M,439,439
Dr. B R Ambedkar National Institute of Technology Jalandhar,Electronics and Communication Engineering (4 Years Bachelor of Technology),OPEN-PWD,M,440,440
Indian institute of information technology Raichur Karnataka,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-PWD,M,440,440
Indian Institute of Information Technology (IIIT) Nagpur,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-PWD,M,442,490
Indian Institute of Information Technology Design &Manufacturing Kancheepuram,Computer Science and Engineering withMajor in Artificial Intelligence (4 Years Bachelor of Technology),OPEN-PWD,M,443,443
Indian Institute of Information Technology Design &Manufacturing Kancheepuram,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN-PWD,M,446,751
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-PWD,M,451,458
Indian Institute of Information Technology Allahabad,Information Technology (4 Years Bachelor of Technology),OPEN,M,451,4382
Motilal Nehru National Institute of Technology Allahabad,Computer Science and Engineering (4 Years Bachelor of Technology),ST,F,456,599
National Institute of Technology Calicut,Chemical Engineering (4 Years Bachelor of Technology),OPEN-PWD,M,456,456
Indian Institute of Information Technology Allahabad,Information Technology (4 Years Bachelor of Technology),OPEN-PWD,F,458,458
National Institute of Technology Calicut,Electronics and Communication Engineering (4 Years Bachelor of Technology),ST,M,460,580
Malaviya National Institute of Technology Jaipur,Civil Engineering (4 Years Bachelor of Technology),ST,M,462,795
National Institute of Technology Calicut,Chemical Engineering (4 Years Bachelor of Technology),OBC-PWD,M,463,463
Dr. B R Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-PWD,F,466,466
Indian Institute of Information Technology Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN-PWD,M,466,466
Motilal Nehru National Institute of Technology Allahabad,Electrical Engineering (4 Years Bachelor of Technology),OPEN-PWD,M,468,468
National Institute of Technology Durgapur,Mechanical Engineering (4 Years Bachelor of Technology),OBC-PWD,M,468,468
National Institute of Technology Karnataka Surathkal,Civil Engineering (4 Years Bachelor of Technology),ST,F,471,471
Indian Institute of Information Technology(IIIT) Dharwad,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN-PWD,M,472,1080
National Institute of Technology Jamshedpur,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN-PWD,F,473,473
Indian Institute of Information Technology Design &Manufacturing Kancheepuram,Computer Science and Engineering withMajor in Artificial Intelligence (4 Years Bachelor of Technology),OBC-PWD,M,475,475
